,id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
106,107,443,2011-07-28 13:46:00,43,2011-07-28 13:53:00,47,B00580,Registered,'01867,1994.0,Female
107,108,421,2011-07-28 13:46:00,43,2011-07-28 13:53:00,47,B00539,Registered,'01867,1959.0,Female
108,109,781,2011-07-28 13:47:00,45,2011-07-28 14:00:00,46,B00431,Registered,'02139,1986.0,Male
109,110,416,2011-07-28 13:47:00,43,2011-07-28 13:54:00,47,B00550,Registered,'01867,1956.0,Male
110,111,1203,2011-07-28 13:48:00,20,2011-07-28 14:08:00,23,B00375,Registered,'02474,1955.0,Female
111,112,762,2011-07-28 13:51:00,49,2011-07-28 14:04:00,31,B00353,Registered,'02474,1966.0,Male
112,113,487,2011-07-28 13:55:00,5,2011-07-28 14:03:00,5,B00042,Casual,,,
113,114,208,2011-07-28 13:59:00,47,2011-07-28 14:03:00,38,B00539,Registered,'02130,1975.0,Male
114,115,2920,2011-07-28 14:05:00,23,2011-07-28 14:54:00,31,B00454,Registered,'02151,1987.0,Female
115,116,1153,2011-07-28 14:06:00,26,2011-07-28 14:25:00,39,B00423,Casual,,,
116,117,1338,2011-07-28 14:07:00,27,2011-07-28 14:29:00,33,B00041,Casual,,,
117,118,1267,2011-07-28 14:08:00,27,2011-07-28 14:29:00,33,B00310,Casual,,,
118,119,1685,2011-07-28 14:34:00,8,2011-07-28 15:02:00,46,B00429,Registered,'02134,1986.0,Male
119,120,5915,2011-07-28 14:38:00,22,2011-07-28 16:17:00,22,B00493,Casual,,,
120,121,1623,2011-07-28 14:42:00,22,2011-07-28 15:09:00,22,B00464,Casual,,,
121,122,1559,2011-07-28 14:42:00,22,2011-07-28 15:08:00,22,B00350,Casual,,,
122,123,199,2011-07-28 15:02:00,33,2011-07-28 15:05:00,10,B00041,Casual,,,
123,124,1236,2011-07-28 15:02:00,31,2011-07-28 15:22:00,42,B00298,Casual,,,
124,126,172,2011-07-28 15:02:00,33,2011-07-28 15:05:00,10,B00310,Casual,,,
125,127,1193,2011-07-28 15:02:00,31,2011-07-28 15:22:00,42,B00353,Casual,,,
126,129,943,2011-07-28 15:02:00,22,2011-07-28 15:18:00,40,B00552,Registered,'02139,1986.0,Male
127,130,888,2011-07-28 15:06:00,45,2011-07-28 15:21:00,13,B00058,Casual,,,
128,131,1094,2011-07-28 15:06:00,49,2011-07-28 15:24:00,24,B00082,Registered,'02116,1982.0,Female
129,132,1100,2011-07-28 15:12:00,5,2011-07-28 15:31:00,36,B00042,Casual,,,
130,133,1933,2011-07-28 15:20:00,23,2011-07-28 15:52:00,32,B00456,Casual,,,
131,134,1100,2011-07-28 15:21:00,10,2011-07-28 15:40:00,27,B00041,Casual,,,
132,135,1071,2011-07-28 15:22:00,10,2011-07-28 15:40:00,27,B00093,Casual,,,
133,136,1224,2011-07-28 15:25:00,36,2011-07-28 15:46:00,38,B00543,Registered,'01742,1962.0,Male
134,137,3373,2011-07-28 15:26:00,23,2011-07-28 16:22:00,23,B00556,Casual,,,
135,138,7669,2011-07-28 15:32:00,42,2011-07-28 17:40:00,22,B00298,Casual,,,
136,139,319,2011-07-28 15:32:00,36,2011-07-28 15:37:00,42,B00042,Casual,,,
137,140,2973,2011-07-28 15:41:00,41,2011-07-28 16:31:00,41,B00585,Casual,,,
138,141,1044,2011-07-28 15:42:00,42,2011-07-28 15:59:00,42,B00042,Casual,,,
139,142,946,2011-07-28 15:51:00,33,2011-07-28 16:07:00,36,B00385,Registered,'01545,1965.0,Male
140,143,731,2011-07-28 15:51:00,40,2011-07-28 16:03:00,22,B00514,Registered,'02139,1986.0,Male
141,145,331,2011-07-28 15:55:00,9,2011-07-28 16:01:00,9,B00159,Casual,,,
142,146,386,2011-07-28 15:55:00,24,2011-07-28 16:01:00,48,B00082,Registered,'02113,1986.0,Male
143,147,395,2011-07-28 15:57:00,5,2011-07-28 16:03:00,21,B00401,Registered,'02215,1962.0,Male
144,148,232,2011-07-28 16:01:00,35,2011-07-28 16:05:00,48,B00196,Casual,,,
145,149,1063,2011-07-28 16:03:00,42,2011-07-28 16:21:00,5,B00042,Casual,,,
146,150,3156,2011-07-28 16:03:00,49,2011-07-28 16:56:00,24,B00426,Casual,,,
147,151,604,2011-07-28 16:04:00,38,2011-07-28 16:14:00,23,B00469,Casual,,,
148,152,635,2011-07-28 16:05:00,10,2011-07-28 16:16:00,36,B00231,Registered,'02127,1968.0,Male
149,153,211,2011-07-28 16:06:00,23,2011-07-28 16:09:00,6,B00111,Registered,'02114,1966.0,Male
150,154,722,2011-07-28 16:08:00,22,2011-07-28 16:20:00,24,B00462,Registered,'02139,1986.0,Male
151,155,2605,2011-07-28 16:12:00,49,2011-07-28 16:55:00,24,B00246,Casual,,,
152,156,157,2011-07-28 16:13:00,23,2011-07-28 16:16:00,23,B00546,Registered,'02130,1982.0,Female
153,157,158,2011-07-28 16:15:00,3,2011-07-28 16:18:00,14,B00190,Registered,'02109,1987.0,Female
154,158,371,2011-07-28 16:18:00,44,2011-07-28 16:24:00,38,B00442,Casual,,,
155,159,423,2011-07-28 16:17:00,22,2011-07-28 16:24:00,44,B00472,Registered,'02351,1978.0,Male
156,160,2951,2011-07-28 16:19:00,12,2011-07-28 17:10:00,12,B00120,Casual,,,
157,161,1003,2011-07-28 16:18:00,22,2011-07-28 16:35:00,38,B00464,Registered,'01944,1982.0,Female
158,162,2946,2011-07-28 16:21:00,12,2011-07-28 17:10:00,12,B00095,Casual,,,
159,163,753,2011-07-28 16:22:00,38,2011-07-28 16:34:00,42,B00016,Registered,'02144,1986.0,Male
160,165,1143,2011-07-28 16:23:00,22,2011-07-28 16:42:00,31,B00350,Registered,'02144,1978.0,Male
161,166,4363,2011-07-28 16:27:00,16,2011-07-28 17:39:00,16,B00465,Casual,,,
162,167,1474,2011-07-28 16:29:00,48,2011-07-28 16:54:00,30,B00174,Casual,,,
163,169,330,2011-07-28 16:34:00,42,2011-07-28 16:40:00,16,B00353,Registered,'02116,1979.0,Male
164,170,1485,2011-07-28 16:36:00,38,2011-07-28 17:01:00,32,B00187,Registered,'02131,1967.0,Male
165,171,1740,2011-07-28 16:37:00,39,2011-07-28 17:06:00,24,B00034,Casual,,,
166,172,1642,2011-07-28 16:36:00,47,2011-07-28 17:04:00,33,B00223,Casual,,,
167,173,233,2011-07-28 16:38:00,44,2011-07-28 16:42:00,38,B00151,Registered,'01719,1971.0,Male
168,174,2514,2011-07-28 16:42:00,10,2011-07-28 17:24:00,24,B00240,Casual,,,
169,175,2515,2011-07-28 16:42:00,10,2011-07-28 17:24:00,24,B00057,Casual,,,
170,176,627,2011-07-28 16:42:00,3,2011-07-28 16:52:00,16,B00002,Registered,'02038,1974.0,Male
171,177,1616,2011-07-28 16:44:00,44,2011-07-28 17:11:00,38,B00474,Casual,,,
172,178,1240,2011-07-28 16:44:00,36,2011-07-28 17:05:00,36,B00385,Registered,'02138,1947.0,Female
173,179,1577,2011-07-28 16:45:00,44,2011-07-28 17:11:00,38,B00013,Casual,,,
174,180,632,2011-07-28 16:46:00,24,2011-07-28 16:57:00,38,B00462,Casual,,,
175,181,413,2011-07-28 16:48:00,22,2011-07-28 16:55:00,40,B00275,Registered,'02109,1987.0,Male
176,182,491,2011-07-28 16:52:00,43,2011-07-28 17:00:00,22,B00069,Registered,'02360,1969.0,Female
177,183,695,2011-07-28 16:54:00,42,2011-07-28 17:05:00,43,B00170,Registered,'02025,1971.0,Male
178,184,589,2011-07-28 16:56:00,22,2011-07-28 17:05:00,49,B00137,Registered,'01890,1978.0,Male
179,185,317,2011-07-28 16:57:00,21,2011-07-28 17:02:00,33,B00542,Casual,,,
180,186,515,2011-07-28 16:57:00,40,2011-07-28 17:05:00,38,B00275,Registered,'01740,1957.0,Male
181,187,655,2011-07-28 16:57:00,3,2011-07-28 17:08:00,25,B00414,Registered,'02118,1985.0,Male
182,189,590,2011-07-28 17:00:00,44,2011-07-28 17:10:00,22,B00487,Registered,'02351,1978.0,Male
183,190,1841,2011-07-28 17:04:00,48,2011-07-28 17:35:00,46,B00505,Casual,,,
184,191,1105,2011-07-28 17:03:00,10,2011-07-28 17:21:00,12,B00406,Registered,'02130,1980.0,Female
185,192,688,2011-07-28 17:05:00,48,2011-07-28 17:16:00,24,B00150,Registered,'02143,1981.0,Male
186,193,856,2011-07-28 17:06:00,10,2011-07-28 17:20:00,8,B00310,Registered,'02135,1966.0,Female
187,194,102,2011-07-28 17:10:00,49,2011-07-28 17:11:00,49,B00137,Registered,'01890,1978.0,Male
188,195,1299,2011-07-28 17:10:00,23,2011-07-28 17:32:00,33,B00469,Registered,'02446,1971.0,Male
189,196,1721,2011-07-28 17:13:00,26,2011-07-28 17:42:00,13,B00026,Casual,,,
190,197,1158,2011-07-28 17:13:00,40,2011-07-28 17:33:00,38,B00339,Casual,,,
191,198,1443,2011-07-28 17:12:00,35,2011-07-28 17:36:00,33,B00215,Registered,'02115,1988.0,Male
192,199,723,2011-07-28 17:13:00,49,2011-07-28 17:25:00,38,B00137,Registered,'01890,1978.0,Male
193,200,758,2011-07-28 17:13:00,39,2011-07-28 17:25:00,22,B00040,Registered,'02143,1981.0,Male
194,201,1425,2011-07-28 17:16:00,9,2011-07-28 17:40:00,9,B00329,Casual,,,
195,202,526,2011-07-28 17:15:00,6,2011-07-28 17:23:00,44,B00111,Registered,'02114,1970.0,Male
196,203,1429,2011-07-28 17:16:00,5,2011-07-28 17:40:00,40,B00312,Casual,,,
197,204,1263,2011-07-28 17:18:00,46,2011-07-28 17:39:00,46,B00429,Casual,,,
198,205,536,2011-07-28 17:18:00,34,2011-07-28 17:27:00,36,B00279,Registered,'02143,1969.0,Male
199,206,830,2011-07-28 17:20:00,33,2011-07-28 17:34:00,32,B00536,Casual,,,
200,207,909,2011-07-28 17:20:00,32,2011-07-28 17:35:00,27,B00189,Registered,'02131,1967.0,Male
201,208,2174,2011-07-28 17:23:00,38,2011-07-28 17:59:00,38,B00464,Casual,,,
202,209,2156,2011-07-28 17:24:00,38,2011-07-28 17:59:00,38,B00013,Casual,,,
203,210,669,2011-07-28 17:26:00,34,2011-07-28 17:37:00,12,B00001,Casual,,,
204,211,227,2011-07-28 17:27:00,35,2011-07-28 17:31:00,44,B00136,Casual,,,
205,212,690,2011-07-28 17:28:00,3,2011-07-28 17:39:00,12,B00463,Registered,'02131,1953.0,Male
206,213,1195,2011-07-28 17:29:00,40,2011-07-28 17:49:00,24,B00358,Casual,,,
207,214,4976,2011-07-28 17:33:00,44,2011-07-28 18:56:00,15,B00156,Casual,,,
208,215,1386,2011-07-28 17:35:00,40,2011-07-28 17:58:00,40,B00488,Casual,,,
209,216,1395,2011-07-28 17:35:00,40,2011-07-28 17:58:00,40,B00552,Casual,,,
210,217,762,2011-07-28 17:34:00,25,2011-07-28 17:47:00,42,B00340,Registered,'02118,1959.0,Female
211,218,347,2011-07-28 17:36:00,35,2011-07-28 17:41:00,22,B00032,Registered,'02474,1977.0,Male
212,219,324,2011-07-28 17:36:00,35,2011-07-28 17:41:00,22,B00076,Registered,'02474,1980.0,Female
213,220,713,2011-07-28 17:39:00,25,2011-07-28 17:51:00,33,B00379,Casual,,,
214,221,713,2011-07-28 17:40:00,23,2011-07-28 17:52:00,24,B00375,Casual,,,
215,222,900,2011-07-28 17:40:00,23,2011-07-28 17:55:00,25,B00407,Registered,'02118,1978.0,Female
216,223,4549,2011-07-28 17:41:00,41,2011-07-28 18:57:00,33,B00585,Casual,,,
217,224,577,2011-07-28 17:40:00,33,2011-07-28 17:50:00,41,B00215,Registered,'02115,1988.0,Male
218,225,1085,2011-07-28 17:42:00,48,2011-07-28 18:00:00,38,B00082,Casual,,,
219,226,4140,2011-07-28 17:45:00,16,2011-07-28 18:54:00,36,B00507,Casual,,,
220,227,1161,2011-07-28 17:43:00,41,2011-07-28 18:02:00,36,B00528,Registered,'02134,1980.0,Male
221,228,1685,2011-07-28 17:45:00,35,2011-07-28 18:13:00,8,B00056,Casual,,,
222,229,4136,2011-07-28 17:45:00,16,2011-07-28 18:54:00,36,B00360,Casual,,,
223,230,756,2011-07-28 17:47:00,36,2011-07-28 18:00:00,39,B00279,Registered,'02118,1971.0,Male
224,231,1597,2011-07-28 17:49:00,45,2011-07-28 18:16:00,36,B00390,Casual,,,
225,232,1573,2011-07-28 17:49:00,45,2011-07-28 18:16:00,36,B00198,Casual,,,
226,233,656,2011-07-28 17:50:00,38,2011-07-28 18:01:00,22,B00474,Registered,'02186,1974.0,Male
227,234,638,2011-07-28 17:52:00,24,2011-07-28 18:02:00,44,B00246,Casual,,,
228,235,362,2011-07-28 17:51:00,13,2011-07-28 17:57:00,26,B00026,Casual,,,
229,236,465,2011-07-28 17:52:00,44,2011-07-28 18:00:00,22,B00136,Casual,,,
230,237,34,2011-07-28 17:54:00,17,2011-07-28 17:55:00,17,B00236,Registered,'02163,1986.0,Male
